200 3
1000 300 !
300 100 !
400 1000 !
700  700 <
300 50 <
250 520 @
90 647 #
610 572 $
280 647 #
450 647 #
630 647 #
500 345 #
620 200 @
750 500 @
730 450 -
900  550 -
738 638 *
780 638 *
910 647 #
1015 638 *
1055 638 *
1185 647 #
100 572 $
200 572 $
300 572 $
400 572 $
500 572 $
700 105 $
790 105 $
870 105 $
1155 110 +
1110 180 #
918 180 #
110 180 #
100 100 *
480 260 -
20 540 /
660 462 =
400 360 =
1000 100 ?
1100 400 ?
900 500 >
100 400 ?
400 500 ?
700 500 >
300 300 &
1000 550 &
30 500 &




